"Date","Open","High","Low","Close","Volume"
"2019-04-26",77.5999984741211,80.6500015258789,76.91000366210938,79.69999694824219,38568459
"2019-04-18",80.95999908447266,81.50499725341797,76.80999755859375,77.56999969482422,21722689
"2019-04-12",83.69999694824219,84.,79.83999633789062,80.77999877929688,24960044
"2019-04-05",80.9800033569336,84.7300033569336,79.97000122070312,83.44999694824219,26023537
"2019-03-29",79.5,81.19000244140625,78.41000366210938,80.58999633789062,23125040
"2019-03-22",81.33999633789062,81.98999786376953,79.26000213623047,79.76000213623047,27398761
"2019-03-15",77.56999969482422,81.45999908447266,77.2699966430664,81.33999633789062,39105009
"2019-03-08",80.4000015258789,80.7300033569336,77.08999633789062,77.58000183105469,29930892
"2019-03-01",80.45999908447266,80.86000061035156,78.74500274658203,80.0999984741211,28849609
"2019-02-22",80.5,81.5199966430664,78.0999984741211,80.0199966430664,22622385
"2019-02-15",79.88999938964844,81.69999694824219,78.56999969482422,80.8499984741211,25392669
"2019-02-08",80.30000305175781,80.36000061035156,77.5199966430664,79.66999816894531,33554695
"2019-02-01",80.,81.30999755859375,75.7699966430664,80.5,56228419
"2019-01-25",88.86000061035156,89.36000061035156,79.43000030517578,80.54000091552734,40355504
"2019-01-18",86.97000122070312,89.79000091552734,84.44999694824219,89.5,31220553
"2019-01-11",90.06999969482422,92.30000305175781,87.12000274658203,88.30999755859375,36577414
"2019-01-04",91.5999984741211,92.98999786376953,86.08000183105469,89.06999969482422,29194429
"2018-12-28",84.8499984741211,92.81999969482422,83.5999984741211,91.12000274658203,24633542
"2018-12-21",85.06999969482422,88.70999908447266,82.41000366210938,84.91999816894531,42255616
"2018-12-14",86.66999816894531,90.16999816894531,84.5999984741211,85.61000061035156,24052848
"2018-12-07",94.31839752197266,94.9800033569336,86.37000274658203,86.95999908447266,29154186
"2018-11-30",86.38999938964844,94.2699966430664,85.20999908447266,94.2699966430664,29389501
"2018-11-23",91.29000091552734,92.33999633789062,84.90010070800781,85.62999725341797,19490110
"2018-11-16",88.75,92.,85.95999908447266,91.52999877929688,42907059
"2018-11-09",79.44999694824219,89.70999908447266,79.2699966430664,88.79000091552734,47142874
"2018-11-02",82.1500015258789,84.41999816894531,77.5,79.55999755859375,47108856
"2018-10-26",88.52999877929688,88.52999877929688,79.26000213623047,80.79000091552734,39761726
"2018-10-19",90.51000213623047,92.41000366210938,87.97000122070312,87.97000122070312,22954850
"2018-10-12",94.06999969482422,95.38999938964844,88.9010009765625,90.69000244140625,27946746
"2018-10-05",94.73999786376953,96.5999984741211,92.91000366210938,94.37999725341797,23968724
"2018-09-28",92.30000305175781,95.15750122070312,91.94999694824219,94.58000183105469,23427023
"2018-09-21",95.4000015258789,96.16000366210938,90.39990234375,92.26000213623047,38624210
"2018-09-14",94.9800033569336,96.4000015258789,92.04000091552734,95.68000030517578,17397087
"2018-09-07",95.97000122070312,95.97000122070312,91.5999984741211,94.16999816894531,19112927
"2018-08-31",98.11000061035156,98.69999694824219,95.72000122070312,95.9800033569336,17746006
"2018-08-24",99.33000183105469,100.2300033569336,96.55000305175781,97.4000015258789,17798208
"2018-08-17",96.,99.1500015258789,95.61000061035156,98.80999755859375,31002976
"2018-08-10",96.26000213623047,98.3499984741211,92.87000274658203,95.80000305175781,29183412
"2018-08-03",90.66999816894531,96.8499984741211,89.37999725341797,96.52999877929688,31388055
"2018-07-27",89.16999816894531,94.55999755859375,88.6355972290039,90.55999755859375,41476031
"2018-07-20",96.76000213623047,97.16999816894531,86.76000213623047,88.91000366210938,45953955
"2018-07-13",97.9800033569336,98.94999694824219,94.0999984741211,96.62999725341797,25687472
"2018-07-06",92.05999755859375,97.06999969482422,91.8499984741211,96.91999816894531,16918807
"2018-06-29",93.47000122070312,94.45999908447266,90.80999755859375,92.6500015258789,30010241
"2018-06-22",99.1500015258789,99.55000305175781,93.43000030517578,93.48999786376953,34768935
"2018-06-15",100.55999755859375,101.08000183105469,97.51000213623047,99.56999969482422,47101650
"2018-06-08",98.4800033569336,100.5,97.62000274658203,100.43000030517578,35160381
"2018-06-01",100.2699966430664,103.15699768066406,97.9000015258789,98.05000305175781,90516264
"2018-05-25",107.,107.25,99.55000305175781,101.08000183105469,66536888
"2018-05-18",104.4000015258789,106.77999877929688,103.58999633789062,105.9800033569336,37186969
"2018-05-11",100.75,104.68499755859375,98.69999694824219,104.18000030517578,31166689
"2018-05-04",99.05000305175781,103.37000274658203,96.5199966430664,100.16999816894531,39909353
"2018-04-27",92.93000030517578,99.3499984741211,90.44000244140625,98.7300033569336,35294425
"2018-04-20",92.88999938964844,94.5999984741211,91.4000015258789,92.5999984741211,23414677
"2018-04-13",91.38999938964844,94.4800033569336,90.41999816894531,91.83000183105469,32768045
"2018-04-06",94.,94.63999938964844,88.22000122070312,89.77999877929688,40913788
"2018-03-29",99.48999786376953,99.91000366210938,91.12229919433594,94.6500015258789,43135568
"2018-03-23",113.73999786376953,114.9800033569336,95.5199966430664,97.45999908447266,59265423
"2018-03-16",119.4000015258789,121.44999694824219,113.58999633789062,113.70999908447266,28556492
"2018-03-09",114.,119.66000366210938,112.20999908447266,119.29000091552734,24928081
"2018-03-02",119.2699966430664,122.,111.80999755859375,115.04000091552734,28476412
"2018-02-23",117.72000122070312,121.55000305175781,116.58000183105469,118.75,23745319
"2018-02-16",112.56999969482422,119.19999694824219,110.27999877929688,118.5999984741211,32558338
"2018-02-09",113.,116.8499984741211,101.,111.30000305175781,50088191
"2018-02-02",121.5,124.1500015258789,111.29000091552734,115.16999816894531,54906809
"2018-01-26",104.69999694824219,125.86000061035156,104.0999984741211,123.20999908447266,40012021
"2018-01-19",100.26000213623047,104.87000274658203,100.,104.63999938964844,25276018
"2018-01-12",101.27999877929688,101.27999877929688,98.18000030517578,100.33999633789062,22860307
"2018-01-05",97.13999938964844,101.19999694824219,96.75,101.11000061035156,17441928
"2017-12-29",98.1500015258789,98.43000030517578,96.70999908447266,96.70999908447266,9376682
"2017-12-22",97.66999816894531,99.0999984741211,97.22000122070312,98.20999908447266,16082847
"2017-12-15",95.87999725341797,98.87000274658203,94.76000213623047,97.44999694824219,30075471
"2017-12-08",96.37000274658203,96.72000122070312,92.9000015258789,95.94999694824219,25423171
"2017-12-01",94.69000244140625,98.5199966430664,94.30000305175781,96.31999969482422,24944206
"2017-11-24",93.91999816894531,95.4000015258789,92.88999938964844,94.72000122070312,13192047
"2017-11-17",95.37000274658203,95.41999816894531,92.71499633789062,93.61000061035156,21186754
"2017-11-10",92.22000122070312,96.37000274658203,91.41999816894531,95.43000030517578,30807207
"2017-11-03",91.69999694824219,93.33999633789062,88.91000366210938,92.30999755859375,29243302
"2017-10-27",95.93000030517578,96.,85.23999786376953,91.93000030517578,41083613
"2017-10-20",91.01000213623047,98.26000213623047,90.55999755859375,96.0999984741211,37086739
"2017-10-13",90.56999969482422,92.61000061035156,89.69999694824219,90.66999816894531,25813298
"2017-10-06",89.73999786376953,91.33000183105469,88.91000366210938,90.48999786376953,21983163
"2017-09-29",86.91999816894531,90.94999694824219,83.19000244140625,88.86000061035156,42309149
"2017-09-22",87.47000122070312,87.80999755859375,85.07499694824219,87.4800033569336,38149797
"2017-09-15",84.45999908447266,89.69000244140625,84.37999725341797,87.37000274658203,63728494
"2017-09-08",75.38999938964844,86.08999633789062,74.7300033569336,85.33999633789062,44311890
"2017-09-01",72.66999816894531,76.,72.55999755859375,75.41999816894531,21163725
"2017-08-25",69.91999816894531,72.77999877929688,69.91000366210938,72.4800033569336,19286090
"2017-08-18",71.2300033569336,71.29000091552734,69.47000122070312,69.95999908447266,20226907
"2017-08-11",70.94000244140625,72.19000244140625,70.38999938964844,70.62999725341797,21674028
"2017-08-04",70.5199966430664,71.37000274658203,69.83000183105469,70.98999786376953,28507218
"2017-07-28",74.62999725341797,74.75,69.37999725341797,70.44000244140625,32130605
"2017-07-21",73.0999984741211,75.04000091552734,71.75,74.62999725341797,22926049
"2017-07-14",71.80000305175781,73.2300033569336,71.30000305175781,73.11000061035156,21079171
"2017-07-07",72.76000213623047,72.98999786376953,71.41000366210938,72.02999877929688,16028304
"2017-06-30",72.79000091552734,73.54000091552734,71.91000366210938,72.51000213623047,21880076
"2017-06-23",71.11000061035156,73.66999816894531,70.94000244140625,72.63999938964844,36099285
"2017-06-16",69.79000091552734,71.12000274658203,68.88999938964844,71.05000305175781,32017393
"2017-06-09",67.25,69.83000183105469,66.87999725341797,69.66999816894531,31061183
"2017-06-02",65.88999938964844,67.30999755859375,65.61000061035156,67.25,21940444
"2017-05-26",65.55000305175781,66.56999969482422,64.80000305175781,66.05999755859375,21591813
"2017-05-19",66.06999969482422,66.91999816894531,64.61000061035156,65.58000183105469,40345474
"2017-05-12",66.94000244140625,66.94999694824219,64.65499877929688,66.05999755859375,27980046
"2017-05-05",66.,67.4000015258789,65.94000244140625,66.98999786376953,22787266
"2017-04-28",64.4000015258789,67.5,64.26000213623047,65.94000244140625,34696803
"2017-04-21",64.79000091552734,64.97010040283203,63.115299224853516,63.81999969482422,22866088
